# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-92.48147432938133,0.0,0.3370766210521877,2.9666845386027987,0.0,0.0
 0.050232845376567435,0.006308346886565331,0.1255821134414186,2.5,-92.48147432938133,0.3392222843690613,0.3370766210521877,2.9666845386027987,0.0,0.0
 0.07132994018494063,0.012719900916968022,0.30390696390377026,8.452578522402838,-92.35864415171987,0.6784445687381226,0.3182149278735949,3.142530134215551,5.822137065653982,275.9686638628198
 0.08771308184535245,0.019233961817023745,0.39760755507573253,5.719329852245623,-92.2408118188484,1.017666853107184,0.30069477411759926,3.325631457794834,7.192291644294874,83.63198018068347
 0.10168545073950414,0.025849827230240305,0.4734963314621415,5.431346463960967,-92.12770706042518,1.3568891374762453,0.28439837608084184,3.5161944796609683,8.094887794621275,64.59864874482334
 0.1141346448164572,0.0325667928684471,0.5395502388899035,5.30587819737233,-92.01907895880522,1.6961114218453066,0.2692201335889166,3.7144324485290596,8.72571356414611,50.67201664826405
 0.1255135891434931,0.03938415264920396,0.5991205848998752,5.2351381901425675,-91.9146942589617,2.035333706214368,0.2550651880838554,3.9205663756484057,9.17349596267151,39.35184017567324
 0.1360899685080814,0.046301198821326446,0.6540088941289353,5.189706924927108,-91.81433585148467,2.374555990583429,0.24184816867294884,4.1348256035475695,9.488919035284049,29.823350859428654
 0.14603728575915287,0.05331722207975117,0.7053181356680855,5.1580984343917935,-91.71780140902857,2.7137782749524906,0.22949210574308282,4.357448360857795,9.704570591201541,21.6793684643228
 0.1554754149964684,0.06043151167081015,0.7537817518890529,5.134875249361587,-91.62490215802273,3.053000559321552,0.2179274815351839,4.588682404603259,9.842972973770067,14.664175398375024
 0.16449116145112697,0.06764335548885177,0.7999164411189871,5.117123630522641,-91.53546177056529,3.3922228436906137,0.20709140328845177,4.828785667201879,9.920463924671973,8.595067673166955
 0.17314969265355565,0.07495204016505193,0.8441021352617064,5.103139679201645,-91.44931536288728,3.731445128059675,0.19692687784279614,5.078026986231333,9.949309607368706,3.3314752840115474
 0.18150135112351862,0.08235685114915695,0.8866276094426847,5.091859818492655,-91.36630858887987,4.070667412428737,0.18738217659069956,5.33668686208245,9.938956951595998,-1.2395928078169927
 0.18958594123491782,0.08985707278482423,0.9277182308960896,5.082585621189072,-91.28629681806373,4.409889696797799,0.17841027692206912,5.605058280565346,9.896824664410167,-5.211431452340941
 0.19743554733549346,0.09745198837916463,0.9675537214260269,5.074839427549875,-91.20914438928757,4.74911198116686,0.169968369851341,5.883447613662633,9.828828069538034,-8.66242127323382
 0.2050764542964261,0.10514088026698529,1.0062800040797977,5.068283497204613,-91.13472393189444,5.088334265535922,0.16201742625011534,6.17217556867151,9.739741338776861,-11.659182766740411
 0.21253049651308026,0.11292302987024098,1.0440173770237662,5.062672285334519,-91.06291574769902,5.427556549904983,0.15452181355347763,6.471578199889009,9.633455527655835,-14.258815288644167
 0.2198160301280247,0.12079771775311159,1.080866316602762,5.057823012910047,-90.99360724709585,5.766778834274045,0.14744895487575055,6.782008057247071,9.513167362375984,-16.510549760296033
 0.2269486494104406,0.12876422367305762,1.1169116988461614,5.053596836755667,-90.92669243436345,6.106001118643106,0.14076902776234815,7.103835381233432,9.381520319940782,-18.457040425493144
 0.23394172490451984,0.136821826628255,1.152225935787401,5.0498864156605725,-90.86207143676174,6.445223403012168,0.13445469701572932,7.437449358002079,9.240712138235203,-20.135372744766553
 0.24080681460594736,0.14496980490165767,1.1868713487761684,5.0466074728147134,-90.79965007361527,6.78444568738123,0.12848087430456914,7.783259612862373,9.092577935794239,-21.577897577967985
 0.24755398288212738,0.15320743610201143,1.2209019937201828,5.043692931767402,-90.73933946097425,7.123667971750291,0.12282450688493235,8.141697657592438,8.938655473283115,-22.812898124169482
 0.2541920511755349,0.16153399720206427,1.2543650851441552,5.0410887542699285,-90.6810556490599,7.462890256119353,0.11746438615092711,8.513218625389355,8.780236860808605,-23.86516761688665
 0.2607287974690722,0.16994876457417102,1.2873021216115141,5.038750930248417,-90.62471928880966,7.802112540488414,0.11238097819068923,8.898303041135568,8.618410095852068,-24.756470220747467
 0.2671711167200177,0.17845101402355318,1.3197497854727263,5.0366432642172905,-90.57025532535637,8.141334824857475,0.10755627205341686,9.297458724706997,8.454092591776638,-25.50595487041625
 0.2735251511794497,0.18704002081935195,1.3517406697486747,5.034735722665274,-90.51759271539876,8.480557109226538,0.10297364126339201,9.711223063794952,8.288058601796262,-26.13048308762495
 0.27979639720602567,0.19571505972368014,1.3833038709636885,5.0330031832999085,-90.46666416699114,8.8197793935956,0.098617721952421,10.140165278634797,8.1209616385331,-26.64493827144522
 0.2859897935373275,0.20447540501880795,1.414465476858383,5.031424476615811,-90.41740589898725,9.15900167796466,0.09447430166991722,10.584889036744507,7.953353114982794,-27.062457266492302
 0.29210979479136967,0.21332033053264016,1.4452489708217415,5.029981643063626,-90.36975741904449,9.498223962333723,0.09053022184656803,11.046035010218079,7.785697741693853,-27.39466322465327
 0.29816043309775286,0.2222491096625988,1.475675569722806,5.028659351355617,-90.32366131814348,9.837446246702784,0.08677328366269092,11.524284408634871,7.6183864522832945,-27.651841167575913
 0.3041453701097886,0.23126101539805063,1.5057645080188564,5.027444438519832,-90.27906308044602,10.176668531071845,0.08319217097855378,12.020361871044228,7.451747212674074,-27.84310666496715
